"","Gene.ID","logFC","P.Value"
"Os.54019.1.S1_at","4338206",-1.7759519994031,6.10263903333708e-08
"Os.9456.1.S1_at","4329370",5.90370148081992,6.16731093820084e-08
"Os.56365.1.S1_at","4332602",3.31311702668288,6.39089416535021e-08
"Os.9540.1.S1_at","4349459",8.22149316333446,6.4781046054151e-08
"Os.9990.1.S1_at","4331360",-2.09147116372986,6.6140206951728e-08
"Os.37239.1.S1_at","4350445",-2.09390170676881,6.74664311985427e-08
"Os.11225.1.S1_at","4343812",-1.7141272569846,6.75452098719692e-08
"Os.49189.1.S1_at","4350522",-0.590051010379891,6.88410415386562e-08
"Os.33915.1.S1_at","4349541",-3.27158260316367,6.88626038044052e-08
"Os.36969.1.S1_at","4334965",2.61054832779172,6.88782118360817e-08
"Os.9820.1.S1_at","4350451",-2.29281554695412,6.89358253504394e-08
"Os.14214.1.S1_at","4339944",3.77231118494324,6.92177829624884e-08
"Os.23482.1.S1_at","4345187",-1.6430738989144,7.07021786066772e-08
"Os.1740.1.S1_at","4325816",-6.31637192913308,7.12859672016635e-08
"Os.10596.1.S1_at","4333623",1.33073397280283,7.13788202515839e-08
"Os.10531.1.S1_at","4344823",-2.97942478774297,7.16877967947562e-08
"Os.37540.1.S1_x_at","4348649",-2.37772164896206,7.72536302628985e-08
"Os.9283.1.S1_at","4329559",-1.23230177254108,7.93234545592942e-08
"Os.28031.1.S1_at","4341783",-1.35959105534086,8.00897602855192e-08
"Os.8621.1.S1_a_at","9266895",-1.90274459952661,8.14329259420977e-08
"Os.36684.1.S1_at","4330178",-1.21292084795494,8.4455570919696e-08
"Os.22560.1.A1_at","4337923",7.21221231251658,8.44696811647879e-08
"Os.9823.1.S1_at","4346391",1.84708059694371,8.45165859505712e-08
"Os.51383.1.S1_at","4343817",-2.00492382046971,8.49962554675139e-08
"Os.8576.1.S1_at","4352829",-0.920054195404694,8.50242639922046e-08
"Os.34488.1.S1_at","4334670",-1.64275986163048,8.58762502747276e-08
"Os.27419.1.S1_at","4351217",1.05237237620566,8.99989529841323e-08
"Os.25955.1.S1_at","4350706",8.60812236065938,9.17190414790601e-08
"Os.31022.1.S1_at","4339887",-2.9346769137408,9.2611134777256e-08
"Os.26992.1.S1_at","4350996",-5.2588119858852,9.30804627903765e-08
"Os.52854.1.S1_at","4343183",5.86159720587757,9.65477921795137e-08
"Os.20313.1.S1_s_at","4325743",1.2236632936025,9.69876547154531e-08
"Os.52384.1.A1_at","4325836",3.91786566312274,9.81718089071486e-08
"Os.38086.1.S1_at","4325215",-4.78554467677531,9.88191970634317e-08
"Os.52665.1.S1_at","4351406",-2.9504717088343,1.07393752622655e-07
"Os.49466.1.S1_at","4352855",4.40854877919891,1.09206830057473e-07
"Os.55915.1.S1_at","9266154///4342096",-1.82599329198955,1.09262121460755e-07
"Os.52833.1.S1_at","4344496",0.767255141679582,1.11181425927125e-07
"Os.10373.1.S1_at","4343852",2.67397918606774,1.12324014828255e-07
"Os.53305.1.S1_at","4325993",-3.11553387941641,1.13232193992252e-07
"Os.11287.1.S1_at","4342106",-1.69632716985938,1.19628036031248e-07
"Os.53210.1.S1_at","4350452",-3.42464490045774,1.20111068245276e-07
"Os.10201.1.S1_at","107275256",2.89002214318492,1.22946346673298e-07
"Os.6318.1.S1_at","4339379",-1.30768932563405,1.25483712529915e-07
"Os.23106.1.A1_at","9267668",-1.17840831825304,1.2557954884737e-07
"OsAffx.26492.1.S1_at","4336616",-3.43357511964484,1.28050919008895e-07
"OsAffx.28364.1.S1_at","4342633",-1.80342291521024,1.30038621479929e-07
"Os.409.1.S1_at","4342862",4.05058414944464,1.31678698690796e-07
"Os.8668.1.S1_x_at","4352472",-9.55310202354409,1.3284993365064e-07
"Os.51595.1.S1_at","9270605",-1.67467275660288,1.34455196524828e-07
"Os.6656.1.S1_at","4329036",-0.99265318976294,1.36662242496631e-07
"Os.14199.1.S1_at","4338797",1.21221301178535,1.36974152421523e-07
"Os.28200.1.S1_x_at","4334644",-3.8647898060875,1.37174091939678e-07
"Os.52305.1.S1_at","4344943",5.37283348089754,1.4852461452132e-07
"OsAffx.5305.1.S1_at","4344279",-2.23623204747655,1.4927041024062e-07
"Os.54218.1.S1_at","4335608",4.48131580329444,1.50706577201711e-07
"Os.23084.1.S1_at","4333819",-2.18557736244133,1.52316777655567e-07
"Os.4867.1.S1_at","4346051",-2.88862990237919,1.56390037163557e-07
"Os.22672.1.S1_at","4340039",-2.2824984940613,1.58810356394419e-07
"OsAffx.30449.1.S1_at","4348342",-1.9336600575606,1.60815454302396e-07
"Os.14561.1.S1_at","4352826",2.60761042331803,1.63013668210853e-07
"Os.51480.1.S1_at","4324858",-1.51664196130392,1.67181970008809e-07
"Os.16786.1.S1_at","4328533",1.00588903847333,1.67883559903817e-07
"Os.55511.1.S1_at","4336526",-1.93692134212805,1.71457373282941e-07
"Os.4458.1.S1_at","4339966",2.10092030250914,1.727557808343e-07
"Os.11491.1.S1_at","4332597",-1.90909688600838,1.73201656787877e-07
"Os.22839.1.S2_at","4341944",-0.53006110533868,1.73502958939785e-07
"Os.46608.1.A1_x_at","4344732",-0.775428775872545,1.76590867765376e-07
"Os.24864.3.S1_at","4338024",-3.91037271721417,1.76740700250907e-07
"Os.9775.1.S1_at","4349203",0.885062508313222,1.78506542956847e-07
"Os.39973.1.S1_s_at","4331944",-1.61252949840859,1.81129630274499e-07
"Os.55052.1.S1_at","4344869",-3.19726363824156,1.8278627063478e-07
"Os.32252.1.S1_at","4325516",0.984653493264932,1.83361505378638e-07
"Os.5242.1.S1_at","4325624",4.55121435706846,1.85028226169251e-07
"Os.14672.1.S2_at","4340178",-2.11531052899502,1.85251725019098e-07
"Os.50512.1.S1_at","4351373",-3.29389588489348,1.85671151692502e-07
"Os.23660.1.S1_at","4342221",-0.987406477760413,1.86060890963294e-07
"Os.5584.1.S1_at","4338473",-0.710196183073023,1.86405248378508e-07
"Os.11546.1.S1_at","4341249",-1.17838540440804,1.87352717896147e-07
